state,item_name,rasa,virya,vipaka,dosha_impact,effect_on_agni,best_use_case
Assam,Murgir Jhol,Madhura,Ushna,Madhura,Vata-,Nourishing,Comfort food
Assam,Khar Bhaji,Bitter,Ushna,Katy,Vata-,Stimulating,Digestive booster
Assam,Bhut Jolokia Chili,Katu,Ushna,Katu,Pitta+,Agni enhancing,Spicing up food
Assam,Methi Thepla,Bitter,Ushna,Katu,Kapha-,Stimulating,Healthy snack
Assam,Pitha Pitha,Madhura,Shita,Madhura,Kapha-,Soothing,Dessert during festivals
Assam,Aloo Pitika,"Madhura, Tikta",Shita,Madhura,Vata-Pitta,Balancing,As a side dish with rice
Assam,Muri Ghanta,"Madhura, Amla",Ushna,Madhura,Kapha,Stimulating,With rice during lunch
Assam,Khar,"Amla, Katu",Ushna,Amla,Vata-Pitta,Enhancing,Traditional meal accompaniment
Assam,Bora Rice,Madhura,Shita,Madhura,All,Neutral,With various side dishes
Assam,Masor Tenga (Vegetarian version),Amla,Ushna,Amla,Kapha,Stimulating,Refreshing summer dish
Assam,Oryza Sativa,Madhura,Shita,Madhura,Vata-Kapha,Balancing,Staple diet component
Assam,Patot Diya,"Madhura, Amla",Shita,Madhura,Pitta,Neutral,Light snack
Assam,Duck Egg Curry (Vegetarian alternative),"Amla, Katu",Ushna,Amla,Pitta,Enhancing,Hearty meal option
Assam,Sukuti,"Madhura, Katu",Ushna,Amla,Vata,Stimulating,An appetizer or snack
Assam,Baanhgajor Lagori,Madhura,Shita,Madhura,All,Balancing,Festive or community meals
Assam,Xoru Maachor Tenga,"Amla, Katu",Ushna,Amla,Kapha,Stimulating,Light main course
Assam,Masoor Daal,"Madhura, Amla",Ushna,Madhura,Vatta-Kapha,Balancing,Common dietary staple
Assam,Khar Shobji,"Amla, Katu",Ushna,Amla,Pitta-Kapha,Enhancing,As a vegetable dish
Assam,Taan,Amla,Ushna,Amla,Kapha,Neutral,Morning snack or breakfast item
Assam,Bokul Khar,"Madhura, Katu",Shita,Madhura,Vatta,Balancing,Side dish with rice
Assam,Bengena Bhaja,Katu,Ushna,Katu,Kapha,Enhancing,As a side dish
Assam,Dhekia Shak,"Bitter, Amla",Ushna,Amla,Pitta,Stimulating,Cooked vegetable dish
Assam,Lentil Pancakes (Moong Daal Chilla),"Madhura, Katu",Ushna,Madhura,Vatta-Kapha,Stimulating,Breakfast or snack
Assam,Pithas,Madhura,Shita,Madhura,All,Balancing,Dessert or offering during festivals
Assam,Narikol Pitha,Madhura,Shita,Madhura,Vata-Kapha,Neutral,Treat during festivities
Assam,Ghat Dhokla,"Madhura, Katu",Ushna,Madhura,Kapha,Stimulating,Snack or light meal
Assam,Khar Cauliflower,"Amla, Katu",Ushna,Amla,Pitta,Enhancing,Vegetable side dish
Assam,Kalonji Bharta,"Amla, Katu",Ushna,Amla,Kapha,Stimulating,Accompaniment to rice
Assam,Chow Chow,"Madhura, Katu",Shita,Madhura,Vatta-Pitta,Balancing,Vegetable stir-fry or curry
Assam,Khar,"Bitter, Astringent",Cooling,Sweet,Balances Vata and Kapha,Stimulating,Cleansing and detoxifying
Assam,Masor Tenga,Sour,Heating,Sour,Pacifies Kapha,Agnikarak,Supporting digestion in summer
Assam,Aloo Pitika,"Sweet, Salty",Cooling,Sweet,Balances Vata,Moderate,Comfort food and light meal
Assam,Duck Brinjal Curry (Vegetarian Variant),"Bitter, Salty",Heating,Sweet,Balances Vata,Enhancing,"Hearty, satisfying meal"
Assam,Bora Saul Pitha,Sweet,Cooling,Sweet,Vata aggravating,Soothing,Festive occasions
Assam,Mitha Murgi,Sweet,Heating,Sweet,Balances Vata and Kapha,Digestive stimulant,Special gatherings
Assam,Murgi Masala (Vegetarian Variant),"Spicy, Salty",Heating,Pungent,Balances Kapha,Stimulant,"Rich, flavorful meal"
Assam,Khichdi,"Sweet, Salty",Heating,Sweet,Balances all doshas,Enhancing,Light and nourishing meal
Assam,Patot Diya Macch,Salty,Heating,Salty,Pacifies Vata,Agnikarak,Serving with rice
Assam,Teokoli,Bitter,Heating,Bitter,Balances Kapha,Stimulating,Enhancing digestive health
Assam,Silkworm Fry,"Salty, Umami",Heating,Umami,Aggravates Pitta,Agnikarak,Protein source
Assam,Uttapam,Savory,Cooling,Sweet,Pacifies Pitta,Moderating,Breakfast or snack
Assam,Tura Rice,Sweet,Cooling,Sweet,Balances Vata and Pitta,Soothing,Everyday meals
Assam,Bamboo Shoot Curry,"Bitter, Sour",Heating,Bitter,Aggravates Vata,Stimulating,Seasonal delicacy
Assam,Labra,"Bitter, Astringent",Cooling,Bitter,Pacifies Pitta,Soothing,Vegetable medley for health
Assam,Bihari Aloo,"Sweet, Salty",Heating,Sweet,Balances Kapha,Enhancing,Comfort dish
Assam,Morok Metek,Bitter,Heating,Pungent,Balances Vata,Stimulating,Soups and stews
Assam,Kharoli,Sweet,Heating,Sweet,Balances all doshas,Enhancing,Rice accompaniment
Assam,Tamol,"Bitter, Astringent",Heating,Bitter,Pacifies Vata,Agnikarak,Digestive health
Assam,Lentil Soup,"Mildly Bitter, Pungent",Heating,Sweet,Balances Vata,Stimulating,Light meal option
Assam,Sukhuli,Savory,Heating,Pungent,Balances Kapha,Agnikarak,Traditional feast
Assam,Chakri Pitha,Sweet,Cooling,Sweet,Balances all doshas,Soothing,Festive occasions
Assam,Naga Pork Curry (Vegetarian Variant),"Spicy, Umami",Heating,Spicy,Aggravates Pitta,Stimulating,"Rich, flavorful meal"
Assam,Fruits Chaat,"Sweet, Sour",Cooling,Sweet,Balances Vata,Moderating,Refreshing snack
Assam,Pitha,Sweet,Cooling,Sweet,Balances all doshas,Soothing,Festive occasions
Andhra Pradesh,Pulihora,"Amla, Uda",Ushna,Madhura,Balancing for Vata and Pitta,Stimulates Agni,"Festivals, Ceremonial offerings"
Andhra Pradesh,Gutti Vankaya Kura,"Katu, Amla",Ushna,Amla,Balances Kapha and Vata,Increases digestive fire,"Main course, Vegetarian meal"
Andhra Pradesh,Rasam,"Amla, Katu, Tikta",Ushna,Katu,Balances Kapha and Vata,Stimulates digestion,Accompaniment to rice
Andhra Pradesh,Pesarattu,"Madhura, Katu",Ushna,Madhura,Balances Vata and Pitta,Supports Agni,"Breakfast, Snack"
Andhra Pradesh,Sambar,"Amla, Katu, Tikta",Ushna,Madhura,Balances Vata,Enhances digestive energy,"Main course, Lentil dish"
Andhra Pradesh,Bobbatlu,Madhura,Ushna,Madhura,Balances Vata,Nutrition support,"Dessert, Festivals"
Andhra Pradesh,Aviyal,"Amla, Madhura",Ushna,Ushna,Balancing for Vata and Pitta,Supports digestion,"Side dish, Rice accompaniments"
Andhra Pradesh,Kakarakaya Kura,"Katu, Tikta",Ushna,Amla,Balances Kapha,Enhances Agni,Main course
Andhra Pradesh,Curd Rice,Madhura,Ushna,Madhura,Soothing for Pitta,Soothes digestion,Cooling meal after spicy food
Andhra Pradesh,Kollu Rasam,"Amla, Katu",Ushna,Katu,Balances Vata and Pitta,Stimulates digestion,Accompaniment to rice
Andhra Pradesh,Coconut Chutney,"Madhura, Amla",Ushna,Madhura,Soothing for Pitta,Supports digestion,Dipping sauce for snacks
Andhra Pradesh,Pongal,"Madhura, Amla",Ushna,Madhura,Balances Vata and Pitta,Supports Agni,"Breakfast, Festive dish"
Andhra Pradesh,Vegetable Biryani,"Amla, Katu",Ushna,Madhura,Balances Vata and Pitta,Enhances Agni,"Main course, Special occasions"
Andhra Pradesh,Patra,"Katu, Madhura",Ushna,Ushna,Balances Kapha and Vata,Stimulatory effect,Snack item
Andhra Pradesh,Dondakaya Curry,"Katu, Tikta",Ushna,Katu,Balances Kapha,Stimulates digestive fire,Main course
Andhra Pradesh,Chow Chow Kura,"Amla, Katu",Ushna,Madhura,Balancing for Vata,Enhances Agni,"Vegetarian dish, Main course"
Andhra Pradesh,Green Gram Curry,"Madhura, Amla",Ushna,Madhura,Balancing for Vata and Pitta,Supports Agni,"Main course, Healthy meal"
Andhra Pradesh,Toor Dal Chutney,"Amla, Katu",Ushna,Katu,Balances Vata,Stimulates digestive fire,Accompaniment to meals
Andhra Pradesh,Pongal Porridge,"Madhura, Katu",Ushna,Madhura,Balances Vata and Pitta,Supports digestion,Breakfast or light meal
Andhra Pradesh,Almond Milk Pudding,Madhura,Ushna,Madhura,Soothing for Vata,Supports Agni,"Dessert, Snacks"
Andhra Pradesh,Masoor Dal Curry,"Madhura, Amla",Ushna,Madhura,Balances Vata and Pitta,Enhances digestive fire,Main course
Andhra Pradesh,Rice Flour Dosa,"Madhura, Katu",Ushna,Madhura,Soothing for Pitta,Supports Agni,"Breakfast, Snack"
Andhra Pradesh,Vegetable Avial,"Amla, Madhura",Ushna,Ushna,Balances Vata,Supports digestion,"Side dish, Rice accompaniments"
Andhra Pradesh,Posu (Pulses),"Madhura, Amla",Ushna,Madhura,Vata-Pitta pacifying,Strengthens,Ideal for protein intake.
Andhra Pradesh,Pulihora (Tamarind Rice),"Amla, Katu",Ushna,Amla,Pitta aggravating,Stimulates,Great for summer months.
Andhra Pradesh,Pesarattu (Green Gram Dosa),"Madhura, Katu",Ushna,Madhura,Vata-Kapha pacifying,Enhances,Nutritious breakfast option.
Andhra Pradesh,Gongura Pachadi (Sorrel Chutney),"Amla, Katu",Ushna,Amla,Vata-Kapha pacifying,Enhances,Served as a side dish.
Andhra Pradesh,Bobbatlu (Sweet Flatbread),Madhura,Ushna,Madhura,Pitta aggravating,Mildly stimulates,Festive occasions.
Andhra Pradesh,Vatha Kuzhambu (Spicy Curry),"Katu, Teekshna",Ushna,Katu,Vata aggravating,Stimulating,Good for cold weather.
Andhra Pradesh,Curd Rice,"Madhura, Amla",Shita,Madhura,Pacifies Pitta and Vata,Soothing,Cooling meal post spicy dishes.
Andhra Pradesh,Kakarakaya Fry (Bitter Gourd Fry),"Katu, Tikta",Ushna,Katu,Vata-Pitta pacifying,Enhances,Good for diabetes management.
Andhra Pradesh,Rasam,"Katu, Amla",Ushna,Katu,Vata-Kapha pacifying,Stimulates,Best served with rice.
Andhra Pradesh,Avakkai Pickle,"Katu, Amla",Ushna,Katu,Vata aggravating,Stimulating,Commonly used with meals for added flavor.
Andhra Pradesh,Bisi Bele Bath,"Madhura, Katu",Ushna,Madhura,Vata balancing,Strengthens,Balanced meal option.
Andhra Pradesh,Sambar,"Amla, Katu",Ushna,Katu,Vata-Kapha pacifying,Stimulating,Excellent with idli or dosa.
Andhra Pradesh,Chakkara Pongali (Sweet Pongal),Madhura,Ushna,Madhura,Vata-Pitta pacifying,Mildly stimulates,Used during celebrations.
Andhra Pradesh,Pottukadala Payasam (Lentil Dessert),Madhura,Ushna,Madhura,Pitta aggravating,Mildly stimulating,Ideal for festivals.
Andhra Pradesh,Amma Koora (Vegetable Curry),"Madhura, Amla",Ushna,Madhura,Vata-Pitta pacifying,Enhances,Everyday meal preparation.
Andhra Pradesh,Methi Kootu (Fenugreek Curry),Bitter,Ushna,Katu,Vata-Kapha pacifying,Stimulates,Digestive support.
Andhra Pradesh,Bajra (Pearl Millet) Roti,Madhura,Ushna,Madhura,Vata balancing,Strengthens,Healthy alternative to wheat.
Andhra Pradesh,Naarthangai Pachadi (Citron Chutney),"Amla, Katu",Ushna,Amla,Vata pacifying,Stimulating,Served with rice.
Andhra Pradesh,Chakara Pongal (Savory Pongal),"Madhura, Katu",Ushna,Madhura,Vata-Pitta balancing,Stimulating,Ideal breakfast option.
Andhra Pradesh,Coconut Rice,"Madhura, Amla",Ushna,Madhura,Pitta aggravating,Soothing,Great for a light meal.
Andhra Pradesh,Vegetable Biryani,"Madhura, Katu",Ushna,Madhura,Vata-Kapha pacifying,Strengthens,Festive occasions.
Andhra Pradesh,Tomato Pappu (Tomato Lentils),"Amla, Katu",Ushna,Katu,Pitta aggravating,Stimulates,Common dish for everyday meals.
Andhra Pradesh,Masala Dosa,"Madhura, Katu",Ushna,Madhura,Vata balancing,Stimulates,Popular breakfast or snack.
Andhra Pradesh,Kakarakaya Pulliyogare (Bitter Gourd Rice),"Katu, Amla",Ushna,Katu,Vata-Kapha pacifying,Stimulates,Nutritive meal option.
Andhra Pradesh,Paneer Butter Masala (without butter),"Madhura, Katu",Ushna,Madhura,Vata-Pitta capusing,Strengthens,Rich and creamy side dish.
Andhra Pradesh,Pulihora,Sour,Heating,Sour,Pitta aggravating,Promotes digestion,Accompanying meals during festivals
Andhra Pradesh,Gutti Vankaya Kura,"Bitter, Spicy",Neutral,Pungent,Kapha pacifying,Stimulates appetite,Main dish with rice
Andhra Pradesh,Avakaya Pickle,"Sour, Spicy",Heating,Pungent,Pitta aggravating,Stimulates digestive fire,With rice or parathas
Andhra Pradesh,Rasam,"Sour, Spicy",Heating,Pungent,Kapha and Vata pacifying,Enhances digestion,Soup or main dish with rice
Andhra Pradesh,Bendakaya Pulusu,"Sour, Spicy",Heating,Sour,Kapha aggravating,Aids in digestion,Main dish with rice
Andhra Pradesh,Tomato Pachadi,"Sour, Spicy",Cooling,Sour,Pitta pacifying,Increases appetite,As a side dish or condiment
Andhra Pradesh,Makka Roti,Sweet,Neutral,Sweet,Vata pacifying,Mildly enhances digestion,With vegetable curries
Andhra Pradesh,Pulled Chakkali,Salty,Heating,Pungent,Kapha aggravating,Stimulates appetite,Snack or tea-time treat
Andhra Pradesh,Curd Rice,"Sweet, Sour",Cooling,Sweet,Pacifies Pitta,Soothes digestion,Cooling effect after spicy meals
Andhra Pradesh,Vegetable Biryani,Spicy,Heating,Pungent,Pitta and Kapha aggravating,Promotes digestion,Main course for celebrations
Andhra Pradesh,Sambar,"Spicy, Sour",Heating,Pungent,Vata and Kapha pacifying,Enhances digestion,With rice or idli
Andhra Pradesh,Pesarattu,"Bitter, Spicy",Heating,Pungent,Vata pacifying,Strengthens digestion,Breakfast or snack
Andhra Pradesh,Chakra Pongali,Sweet,Cooling,Sweet,Vata pacifying,Soothing for the stomach,Breakfast dish
Andhra Pradesh,Kakarakaya Kura,Bitter,Heating,Pungent,Kapha and Vata aggravating,Stimulates digestion,As a side dish
Andhra Pradesh,Gobi Manchurian,"Spicy, Salty",Heating,Pungent,Pitta aggravating,Increases digestive fire,Starter or snack
Andhra Pradesh,Sundal,Salty,Heating,Salty,Vata aggravating,Mild digestive aid,As a snack or side dish
Andhra Pradesh,Anapakaya Kura,"Sweet, Bitter",Neutral,Sweet,Vata pacifying,Supports digestion,Main dish with rice
Andhra Pradesh,Kongu Kura,"Bitter, Spicy",Heating,Pungent,Kapha pacifying,Stimulates appetite,Side dish with rice
Andhra Pradesh,Chintakaya Pulusu,"Sour, Spicy",Heating,Sour,Kapha aggravating,Enhances digestive fire,Main dish with rice
Andhra Pradesh,Tomato Rice,"Spicy, Sour",Heating,Pungent,Kapha aggravating,Stimulates digestion,Main meal or lunch
Andhra Pradesh,Chakra Pappu,Sweet,Cooling,Sweet,Vata pacifying,Aids in digestion,Side dish with rice
Andhra Pradesh,Kobbari Annam,"Sweet, Salty",Cooling,Sweet,Pacifies Vata,Promotes digestion,Comfort food with curries
Andhra Pradesh,Roti with Chutney,Spicy,Heating,Pungent,Pitta aggravating,Increases digestive fire,Accompanying main dishes
Andhra Pradesh,Pulihora,"Sour, Salty",Cold,Sweet,Balances Vata and Pitta,Agni stimulating,Festivals and special occasions
Andhra Pradesh,Gutti Vankaya Kura,"Bitter, Spicy",Warm,Pungent,Balances Kapha and Pitta,Enhances Agni,Main course with rice
Andhra Pradesh,Pesarattu,"Bitter, Pungent",Warm,Sweet,Balances Vata and Kapha,Agni enhancing,Breakfast item
Andhra Pradesh,Biryani (Vegetable),"Savory, Spicy",Warm,Sweet,Balances Vata and Pitta,Stimulates Agni,Festive meals
Andhra Pradesh,Avakai (Mango Pickle),"Sour, Spicy",Warm,Pungent,Balances Kapha,Stimulates digestion,Accompaniment with rice
Andhra Pradesh,Bendakaya Pulusu,"Sour, Salty",Cold,Sweet,Balances Pitta,Soothing for Agni,Main dish with rice
Andhra Pradesh,Andhra Style Sambar,"Spicy, Sour",Warm,Sweet,Balances all doshas,Agni enhancing,Pairing with rice
Andhra Pradesh,Kanda Kura,"Spicy, Sweet",Warm,Sweet,Balances Vata and Pitta,Stimulating,Lunch or dinner
Andhra Pradesh,Chennai Coconut Rice,"Sweet, Savory",Neutral,Sweet,Balances all doshas,Moderately stimulating,Casual meal or picnic
Andhra Pradesh,Kobbari Annam,"Sweet, Salty",Warm,Sweet,Balances Vata and Pitta,Comforting and soothing,Light meal option
Andhra Pradesh,Tomato Rice,"Spicy, Sour",Warm,Pungent,Balances Vata and Kapha,Agni stimulating,Quick meal option
Andhra Pradesh,Pulled Cabbage Stir Fry,"Bitter, Spicy",Warm,Pungent,Balances Kapha,Strongly stimulating,Healthy side dish
Andhra Pradesh,Curd Rice,"Sour, Sweet",Cold,Sweet,Balances all doshas,Soothing for Agni,Cooling meal in summer
Andhra Pradesh,Rasam,"Spicy, Sour",Warm,Pungent,Balances Vata and Kapha,Stimulating,Soup or appetizer
Andhra Pradesh,Dondakaya Fry,"Bitter, Spicy",Warm,Pungent,Balances Vata,Agni enhancing,Side dish with lunch
Andhra Pradesh,Sakkarai Pongal,Sweet,Warm,Sweet,Balances Vata,Soothing for Agni,Breakfast or dessert
Andhra Pradesh,Vada Gundalu,"Sweet, Spicy",Warm,Sweet,Balances Vata and Kapha,Agni enhancing,Tea time snack
Andhra Pradesh,Bhendi Fry,"Bitter, Spicy",Warm,Pungent,Balances Vata and Kapha,Enhances Agni,Accompaniment with rice
Andhra Pradesh,Vegetable Kurma,"Spicy, Sour",Warm,Sweet,Balances all doshas,Strengthens Agni,Side dish for biryani or rice
Andhra Pradesh,Cabbage Poriyal,"Bitter, Spicy",Warm,Pungent,Balances Vata,Agni stimulating,Healthy side dish
Andhra Pradesh,Chakkara Pongal,Sweet,Warm,Sweet,Balances Vata,Soothing for Agni,Festival sweet
Andhra Pradesh,Sundal,"Savory, Spicy",Warm,Sweet,Balances Vata and Kapha,Stimulating,Snack or appetizer
Andhra Pradesh,Coconut Ladoo,Sweet,Warm,Sweet,Balances Vata,Soothing for Agni,Dessert or snack
 Arunachal Pradesh,Thukpa,"Sour, Salty",Ushna,Madhura,Pacifies Vata and Kapha,Stimulating,"As a warming, nourishing meal in cold weather."
 Arunachal Pradesh,Khar,"Bitter, Astringent",Ushna,Katu,Pacifies Pitta,Enhancing,For detoxification and digestive health.
 Arunachal Pradesh,Momos,Savory,Ushna,Madhura,Pacifies Vata,Stimulating,As a hearty snack or light meal.
 Arunachal Pradesh,Ngatok,"Bitter, Salty",Ushna,Katu,Pacifies Kapha,Enhancing,To help with digestion and appetite.
 Arunachal Pradesh,Bamboo Shoot Curry,"Bitter, Astringent",Ushna,Katu,Pacifies Vata,Stimulating,As a side dish to balance heavier foods.
 Arunachal Pradesh,Pika,Savory,Ushna,Madhura,Pacifies Vata,Enhancing,As a main course during festivities.
 Arunachal Pradesh,Tungtap,"Sour, Salty",Ushna,Madhura,Pacifies Kapha,Stimulating,As a flavorful accompaniment to rice.
 Arunachal Pradesh,Apong,"Sweet, Bitter",Ushna,Madhura,Balancing,Cooling,As a refreshing drink in hot weather.
 Arunachal Pradesh,Sukuti,"Savory, Salty",Ushna,Katu,Pacifies Vata,Enhancing,As a protein-rich snack.
 Arunachal Pradesh,Dali,"Sweet, Salty",Ushna,Madhura,Pacifies Vata and Pitta,Stimulating,As a staple in meals for energy.
 Arunachal Pradesh,Chura,"Salty, Sweet",Ushna,Madhura,Pacifies Vata,Enhancing,As a breakfast item with milk.
 Arunachal Pradesh,Bokser,Savory,Ushna,Madhura,Balancing,Stimulating,As a spicy accompaniment to rice.
 Arunachal Pradesh,Pung,Bitter,Ushna,Katu,Pacifies Kapha,Enhancing,For cleansing processes.
 Arunachal Pradesh,Kahwa,"Bitter, Astringent",Ushna,Katu,Pacifies Vata,Stimulating,As a warming tea in winter.
 Arunachal Pradesh,Pitha,"Sweet, Savory",Ushna,Madhura,Pacifies Vata,Stimulating,As a sweet treat during festivals.
 Arunachal Pradesh,Gundruk,"Bitter, Salty",Ushna,Katu,Pacifies Kapha,Enhancing,For a tangy side dish.
 Arunachal Pradesh,Khoo,Savory,Ushna,Madhura,Balancing,Stimulating,As a flavorsome appetizer.
 Arunachal Pradesh,Tamang,"Bitter, Astringent",Ushna,Katu,Pacifies Pitta,Stimulating,For digestive health.
 Arunachal Pradesh,Kharra,Savory,Ushna,Madhura,Pacifies Vata,Enhancing,As a rich side dish to enhance meals.
 Arunachal Pradesh,Zanthoxylum,"Bitter, Pungent",Ushna,Katu,Pacifies Kapha,Stimulating,As a flavorful seasoning for dishes.
 Arunachal Pradesh,Alu Pitha,"Savory, Sweet",Ushna,Madhura,Balancing,Stimulating,As a special dish during gatherings.
 Arunachal Pradesh,Thukpa,"Salty, Spicy",Heating,Pungent,Balances Vata and Kapha,Stimulates,Best for cold weather and as a hearty meal
 Arunachal Pradesh,Momos,Salty,Neutral,Sweet,Balances Vata,Moderate,Snack or light meal with chutney
 Arunachal Pradesh,Bamboo Shoot Curry,"Bitter, Astringent",Cooling,Bitter,Balances Pitta,Moderately stimulating,Best in summer as a cooling dish
 Arunachal Pradesh,Tawa Veggies,"Bitter, Sweet",Heating,Sweet,Balances Vata and Kapha,Stimulating,Best enjoyed with rice
 Arunachal Pradesh,Zan,Sweet,Neutral,Sweet,Balances all doshas,Soothing,"Comfort food, often served with vegetables"
 Arunachal Pradesh,Kharzi,Astringent,Cooling,Sweet,Balances Pitta and Kapha,Balancing,Accompaniment to rice
 Arunachal Pradesh,Chura Sabzi,"Salty, Bitter",Heating,Pungent,Balances Vata,Stimulating,Good for breakfast or snack
 Arunachal Pradesh,Methi Thepla,"Bitter, Sweet",Heating,Pungent,Balances Vata,Stimulating,Ideal for travel or picnic food
 Arunachal Pradesh,Pickled Vegetables,"Salty, Sour",Heating,Pungent,Balances Vata,Stimulating,Best as a side dish
 Arunachal Pradesh,Locally Grown Rice,Sweet,Neutral,Sweet,Balances all doshas,Soothing,Staple food with various curries
 Arunachal Pradesh,Vegetable Momos,"Salty, Spicy",Heating,Pungent,Balances Vata,Stimulating,Snack with dipping sauce
 Arunachal Pradesh,Bhut Jolokia Chutney,"Spicy, Sour",Heating,Pungent,Balances Vata and Kapha,Stimulating,Enhances flavor of rice and dals
 Arunachal Pradesh,Aloo Pitika,"Sweet, Salty",Cooling,Sweet,Balances Vata and Pitta,Soothing,Spread on rice or bread
 Arunachal Pradesh,Pitha,Sweet,Neutral,Sweet,Balances Vata,Soothing,Festive snack or dessert
 Arunachal Pradesh,Gundruk,"Bitter, Salty",Cooling,Pungent,Balances Pitta,Moderate,Best as a side dish with rice
 Arunachal Pradesh,Sukuti,Salty,Neutral,Sweet,Balances Vata,Stimulating,Spicy accompaniment to rice
 Arunachal Pradesh,Khar,"Bitter, Astringent",Neutral,Pungent,Balances Vata,Stimulating,Accompaniment for rice dishes
 Arunachal Pradesh,Oukham,Sweet,Heating,Sweet,Balances all doshas,Soothing,Traditional sweet dish
 Arunachal Pradesh,Tarua,Savory,Neutral,Pungent,Balances Vata,Stimulating,Best as a snack
 Arunachal Pradesh,Ema Datshi (Vegetarian Version),"Salty, Spicy",Heating,Pungent,Balances Vata and Kapha,Stimulating,Accompaniment to rice
 Arunachal Pradesh,Vegetable Fry,"Salty, Bitter",Heating,Pungent,Balances Vata,Stimulating,Side dish for meals
 Arunachal Pradesh,Dhaman,"Bitter, Sweet",Cooling,Sweet,Balances Pitta,Soothing,Served with rice and lentils
 Arunachal Pradesh,Paw-Paw Salad,"Sweet, Salty",Cooling,Sweet,Balances all doshas,Soothing,Refreshing summer salad
